time_s,dist_m,vel_ms,accel_ms2
2.4998,-0.0005,0.0000,-0.0117
2.5110,-0.0005,-0.0000,-0.0111
2.5222,-0.0005,0.0000,-0.0104
2.5333,-0.0005,-0.0000,-0.0098
2.5445,-0.0005,0.0000,-0.0091
2.5556,-0.0005,-0.0000,-0.0085
2.5668,-0.0005,0.0000,-0.0078
2.5780,-0.0005,-0.0002,-0.0071
2.5891,-0.0005,-0.0014,-0.0065
2.6003,-0.0005,-0.0018,-0.0058
2.6114,-0.0005,-0.0006,-0.0052
2.6226,-0.0005,0.0000,-0.0050
2.6338,-0.0005,-0.0000,-0.0048
2.6449,-0.0005,0.0000,-0.0046
2.6561,-0.0005,0.0000,-0.0044
2.6672,-0.0005,-0.0000,-0.0042
2.6784,-0.0005,0.0000,-0.0040
2.6896,-0.0005,-0.0000,-0.0038
2.7007,-0.0005,0.0000,-0.0036
2.7119,-0.0005,-0.0000,-0.0034
2.7230,-0.0005,-0.0000,-0.0032
2.7342,-0.0005,0.0000,-0.0030
2.7454,-0.0005,-0.0000,-0.0028
2.7565,-0.0005,0.0001,-0.0026
2.7677,-0.0005,-0.0001,-0.0024
2.7788,-0.0005,0.0001,-0.0022
2.7900,-0.0005,-0.0003,-0.0020
2.8012,-0.0005,-0.0021,-0.0018
2.8123,-0.0005,-0.0024,-0.0016
2.8235,-0.0006,-0.0033,0.0011
2.8346,-0.0006,-0.0051,0.0037
2.8458,-0.0007,-0.0064,0.0064
2.8570,-0.0008,-0.0092,0.0090
2.8681,-0.0009,-0.0120,0.0116
2.8793,-0.0010,-0.0121,0.0143
2.8904,-0.0012,-0.0100,0.0169
2.9016,-0.0012,-0.0092,0.0196
2.9128,-0.0014,-0.0082,0.0222
2.9239,-0.0014,-0.0051,0.0249
2.9351,-0.0015,-0.0031,0.0275
2.9462,-0.0015,-0.0014,0.0301
2.9574,-0.0015,-0.0001,0.0328
2.9686,-0.0015,0.0001,0.0354
2.9797,-0.0015,-0.0001,0.0381
2.9909,-0.0015,-0.0001,0.0407
3.0020,-0.0015,0.0000,0.0433
3.0132,-0.0015,0.0005,0.0460
3.0244,-0.0015,0.0056,0.0447
3.0355,-0.0014,0.0104,0.0434
3.0467,-0.0013,0.0191,0.0421
3.0578,-0.0010,0.0306,0.0407
3.0690,-0.0006,0.0349,0.0394
3.0802,-0.0002,0.0370,0.0381
3.0913,0.0002,0.0140,0.0368
3.1025,0.0001,-0.0210,0.0355
3.1136,-0.0002,-0.0253,0.0342
3.1248,-0.0004,-0.0181,0.0329
3.1360,-0.0006,-0.0095,0.0316
3.1471,-0.0006,0.0005,0.0303
3.1583,-0.0006,0.0030,0.0289
3.1694,-0.0006,0.0054,0.0276
3.1806,-0.0005,0.0055,0.0263
3.1918,-0.0005,0.0048,0.0250
3.2029,-0.0004,0.0067,0.0237
3.2141,-0.0003,0.0076,0.0224
3.2252,-0.0002,0.0096,0.0203
3.2364,-0.0001,0.0136,0.0183
3.2476,0.0001,0.0189,0.0162
3.2587,0.0003,0.0232,0.0141
3.2699,0.0006,0.0288,0.0120
3.2810,0.0010,0.0339,0.0100
3.2922,0.0014,0.0332,0.0079
3.3034,0.0017,0.0318,0.0058
3.3145,0.0021,0.0298,0.0037
3.3257,0.0024,0.0264,0.0017
3.3368,0.0027,0.0230,-0.0004
3.3480,0.0029,0.0168,-0.0025
3.3592,0.0030,0.0102,-0.0045
3.3703,0.0031,0.0066,-0.0066
3.3815,0.0032,0.0043,-0.0087
3.3926,0.0032,0.0032,-0.0108
3.4038,0.0033,0.0036,-0.0128
3.4150,0.0033,0.0034,-0.0149
3.4261,0.0033,0.0035,-0.0164
3.4373,0.0034,0.0056,-0.0178
3.4484,0.0035,0.0073,-0.0193
3.4596,0.0035,0.0073,-0.0207
3.4708,0.0036,0.0056,-0.0222
3.4819,0.0037,0.0031,-0.0236
3.4931,0.0037,0.0024,-0.0251
3.5042,0.0037,0.0029,-0.0265
3.5154,0.0038,0.0037,-0.0280
3.5266,0.0038,0.0052,-0.0294
3.5377,0.0039,0.0084,-0.0309
3.5489,0.0040,0.0111,-0.0323
3.5600,0.0041,0.0101,-0.0338
3.5712,0.0042,0.0090,-0.0352
3.5824,0.0043,0.0082,-0.0366
3.5935,0.0044,0.0065,-0.0381
3.6047,0.0045,0.0061,-0.0395
3.6158,0.0045,0.0060,-0.0410
3.6270,0.0046,0.0066,-0.0435
3.6382,0.0047,0.0084,-0.0460
3.6493,0.0048,0.0097,-0.0485
3.6605,0.0049,0.0128,-0.0510
3.6716,0.0051,0.0167,-0.0535
3.6828,0.0053,0.0168,-0.0560
3.6940,0.0054,0.0122,-0.0585
3.7051,0.0055,0.0048,-0.0610
3.7163,0.0056,0.0005,-0.0635
3.7274,0.0056,0.0000,-0.0660
3.7386,0.0056,-0.0002,-0.0685
3.7498,0.0055,0.0012,-0.0709
3.7609,0.0056,0.0023,-0.0734
3.7721,0.0056,0.0007,-0.0759
3.7832,0.0056,-0.0001,-0.0784
3.7944,0.0056,0.0001,-0.0809
3.8056,0.0056,0.0001,-0.0834
3.8167,0.0056,-0.0005,-0.0859
3.8279,0.0056,-0.0025,-0.0802
3.8390,0.0055,-0.0054,-0.0745
3.8502,0.0055,-0.0092,-0.0689
3.8614,0.0053,-0.0140,-0.0632
3.8725,0.0052,-0.0192,-0.0575
3.8837,0.0049,-0.0221,-0.0518
3.8948,0.0047,-0.0231,-0.0461
3.9060,0.0044,-0.0259,-0.0404
3.9172,0.0041,-0.0263,-0.0347
3.9283,0.0038,-0.0246,-0.0290
3.9395,0.0035,-0.0257,-0.0233
3.9506,0.0032,-0.0252,-0.0176
3.9618,0.0030,-0.0243,-0.0119
3.9730,0.0027,-0.0257,-0.0063
3.9841,0.0024,-0.0269,-0.0006
3.9953,0.0021,-0.0278,0.0051
4.0064,0.0018,-0.0294,0.0108
4.0176,0.0014,-0.0318,0.0165
4.0288,0.0011,-0.0313,0.0212
4.0399,0.0007,-0.0286,0.0259
4.0511,0.0004,-0.0289,0.0306
4.0622,0.0001,-0.0266,0.0353
4.0734,-0.0002,-0.0222,0.0400
4.0846,-0.0004,-0.0200,0.0447
4.0957,-0.0006,-0.0179,0.0494
4.1069,-0.0008,-0.0156,0.0541
4.1180,-0.0010,-0.0129,0.0588
4.1292,-0.0011,-0.0095,0.0635
4.1404,-0.0012,-0.0055,0.0682
4.1515,-0.0012,-0.0033,0.0729
4.1627,-0.0012,-0.0029,0.0776
4.1738,-0.0013,-0.0011,0.0823
4.1850,-0.0013,0.0001,0.0870
4.1962,-0.0013,-0.0000,0.0917
4.2073,-0.0013,0.0001,0.0964
4.2185,-0.0013,-0.0000,0.1011
4.2296,-0.0013,0.0000,0.0969
4.2408,-0.0013,-0.0000,0.0928
4.2520,-0.0013,0.0001,0.0886
4.2631,-0.0013,0.0021,0.0844
4.2743,-0.0012,0.0039,0.0802
4.2854,-0.0012,0.0046,0.0760
4.2966,-0.0011,0.0070,0.0718
4.3078,-0.0010,0.0089,0.0676
4.3189,-0.0009,0.0093,0.0634
4.3301,-0.0008,0.0111,0.0592
4.3412,-0.0007,0.0122,0.0550
4.3524,-0.0005,0.0129,0.0508
4.3636,-0.0004,0.0145,0.0466
4.3747,-0.0002,0.0142,0.0424
4.3859,-0.0001,0.0144,0.0382
4.3970,0.0001,0.0163,0.0340
4.4082,0.0003,0.0162,0.0298
4.4194,0.0005,0.0151,0.0256
4.4305,0.0006,0.0143,0.0230
4.4417,0.0008,0.0142,0.0203
