timestamp_us,angle_counts,magnet_ok
3167572,550,1
3171284,551,1
3175000,550,1
3178716,551,1
3182428,551,1
3186144,550,1
3189860,550,1
3193580,551,1
3197296,551,1
3201008,551,1
3204724,551,1
3208440,551,1
3212148,551,1
3215864,551,1
3219580,551,1
3223288,551,1
3227004,551,1
3230716,551,1
3234432,551,1
3238148,551,1
3241856,551,1
3245572,550,1
3249288,551,1
3252996,551,1
3256712,551,1
3260428,551,1
3264144,551,1
3267860,551,1
3271572,551,1
3275288,551,1
3279008,551,1
3282720,551,1
3286440,550,1
3290156,550,1
3293872,548,1
3297588,546,1
3301300,543,1
3305016,541,1
3308736,538,1
3312444,536,1
3316160,533,1
3319876,530,1
3323592,527,1
3327308,524,1
3331020,520,1
3334736,516,1
3338452,512,1
3342164,509,1
3345880,505,1
3349596,502,1
3353312,499,1
3357028,496,1
3360740,493,1
3364456,490,1
3368172,487,1
3371884,485,1
3375600,483,1
3379316,481,1
3383024,480,1
3386740,479,1
3390448,477,1
3394164,475,1
3397880,474,1
3401592,472,1
3405308,470,1
3409024,468,1
3412736,467,1
3416452,465,1
3420168,463,1
3423884,461,1
3427600,459,1
3431308,456,1
3435024,455,1
3438740,452,1
3442452,450,1
3446168,448,1
3449884,446,1
3453600,444,1
3457316,442,1
3461028,439,1
3464744,437,1
3468460,435,1
3472172,432,1
3475888,429,1
3479604,425,1
3483320,421,1
3487036,418,1
3490748,413,1
3494464,408,1
3498180,401,1
3501888,395,1
3505604,387,1
3509320,378,1
3513036,368,1
3516752,358,1
3520464,347,1
3524180,337,1
3527900,328,1
3531612,316,1
3535328,308,1
3539048,298,1
3542764,289,1
3546480,282,1
3550192,273,1
3553912,266,1
3557628,259,1
3561336,252,1
3565052,243,1
3568768,237,1
3572480,230,1
3576196,221,1
3579912,214,1
3583628,207,1
3587344,199,1
3591052,192,1
3594768,185,1
3598484,176,1
3602196,169,1
3605912,163,1
3609628,156,1
3613348,150,1
3617064,143,1
3620772,136,1
3624492,130,1
3628208,123,1
3631916,117,1
3635632,111,1
3639348,103,1
3643064,95,1
3646784,87,1
3650496,78,1
3654212,70,1
3657928,62,1
3661640,55,1
3665360,48,1
3669076,40,1
3672792,33,1
3676512,28,1
3680224,20,1
3683940,13,1
3687656,7,1
3691356,1,1
3695064,0,1
3698776,0,1
3702484,4083,1
3706208,4079,1
3709916,4075,1
3713640,4071,1
3717364,4066,1
3721076,4061,1
3724800,4055,1
3728524,4050,1
3732236,4044,1
3735960,4037,1
3739684,4030,1
3743408,4023,1
3747132,4015,1
3750844,4008,1
3754568,3999,1
3758292,3992,1
3762004,3984,1
3765728,3977,1
3769452,3969,1
3773164,3957,1
3776888,3949,1
3780600,3942,1
3784324,3934,1
3788048,3927,1
3791760,3919,1
3795484,3910,1
3799208,3902,1
3802916,3894,1
3806640,3884,1
3810364,3875,1
3814072,3866,1
3817796,3855,1
3821508,3843,1
3825232,3831,1
3828956,3819,1
3832664,3805,1
3836388,3791,1
3840112,3777,1
3843820,3761,1
3847544,3748,1
3851252,3736,1
3854976,3723,1
3858700,3711,1
3862412,3698,1
3866136,3686,1
3869860,3675,1
3873568,3664,1
3877296,3654,1
3881020,3643,1
3884744,3630,1
3888468,3617,1
3892180,3605,1
3895904,3592,1
3899628,3580,1
3903340,3567,1
3907064,3556,1
3910788,3546,1
3914496,3534,1
3918220,3523,1
3921936,3511,1
3925660,3500,1
3929388,3490,1
3933096,3481,1
3936820,3472,1
3940544,3460,1
3944256,3451,1
3947980,3440,1
3951704,3429,1
3955416,3419,1
3959140,3409,1
3962852,3400,1
3966576,3390,1
3970300,3380,1
3974008,3372,1
3977732,3363,1
3981456,3355,1
3985168,3346,1
3988892,3340,1
3992616,3331,1
3996340,3323,1
4000064,3315,1
4003772,3309,1
4007496,3302,1
4011220,3296,1
4014932,3290,1
4018656,3284,1
4022380,3278,1
4026088,3273,1
4029812,3268,1
4033520,3261,1
4037244,3256,1
4040968,3248,1
4044676,3240,1
4048400,3232,1
4052124,3225,1
4055836,3217,1
4059560,3209,1
4063284,3203,1
4067008,3196,1
4070732,3191,1
4074444,3186,1
4078168,3180,1
4081892,3177,1
4085604,3172,1
4089328,3169,1
4093052,3165,1
4096764,3162,1
4100488,3158,1
4104204,3153,1
4107928,3148,1
4111656,3142,1
4115364,3138,1
4119088,3133,1
4122812,3128,1
4126524,3125,1
4130248,3123,1
4133972,3120,1
4137680,3117,1
4141404,3115,1
4145116,3114,1
4148840,3113,1
4152564,3114,1
4156272,3112,1
4159996,3112,1
4163720,3112,1
4167428,3112,1
4171152,3113,1
4174876,3113,1
4178600,3114,1
4182328,3114,1
4186036,3115,1
4189760,3116,1
4193484,3117,1
4197196,3118,1
4200920,3119,1
4204644,3120,1
4208356,3121,1
4212080,3122,1
4215788,3122,1
4219512,3122,1
4223236,3122,1
4226948,3122,1
4230672,3122,1
4234396,3122,1
4238108,3123,1
4241832,3124,1
4245556,3124,1
4249280,3125,1
4253004,3125,1
4256712,3125,1
4260436,3126,1
4264160,3126,1
4267868,3126,1
4271592,3126,1
4275316,3126,1
4279028,3127,1
4282752,3127,1
4286460,3127,1
4290184,3127,1
4293908,3127,1
4297620,3128,1
4301344,3128,1
4305068,3127,1
4308776,3128,1
4312500,3128,1
4316224,3128,1
4319936,3128,1
4323660,3128,1
4327368,3128,1
4331092,3128,1
4334816,3128,1
4338528,3128,1
4342252,3128,1
4345980,3128,1
4349692,3128,1
4353416,3128,1
4357132,3128,1
4360856,3128,1
4364580,3128,1
4368292,3128,1
4372016,3128,1
4375740,3128,1
4379448,3128,1
4383172,3128,1
4386896,3128,1
4390608,3128,1
4394332,3128,1
4398044,3128,1
4401768,3128,1
4405492,3128,1
4409204,3128,1
4412928,3128,1
4416652,3128,1
4420360,3128,1
4424084,3128,1
4427808,3128,1
4431536,3128,1
4435260,3128,1
4438972,3128,1
4442696,3128,1
4446420,3128,1
4450128,3128,1
4453852,3128,1
4457576,3128,1
4461288,3128,1
4465012,3128,1
4468720,3127,1
4472444,3124,1
4476168,3118,1
4479880,3110,1
4483604,3102,1
4487328,3090,1
4491036,3079,1
4494760,3064,1
4498484,3049,1
4502208,3030,1
4505932,3011,1
4509644,2990,1
4513368,2971,1
4517092,2950,1
4520804,2930,1
4524528,2907,1
4528252,2886,1
4531960,2866,1
4535684,2847,1
4539400,2829,1
4543124,2811,1
4546848,2794,1
4550560,2776,1
4554284,2759,1
4558008,2739,1
4561720,2721,1
4565444,2700,1
4569168,2680,1
4572876,2660,1
4576600,2641,1
4580312,2624,1
4584036,2609,1
4587760,2592,1
4591468,2576,1
4595192,2560,1
4598916,2547,1
4602628,2532,1
4606352,2519,1
4610076,2505,1
4613800,2493,1
4617524,2482,1
4621232,2472,1
4624960,2459,1
4628684,2449,1
4632396,2440,1
4636120,2431,1
4639844,2421,1
4643552,2413,1
4647276,2403,1
4650988,2393,1
4654712,2382,1
